src, Destiny_1, Destiny_2, Destiny_3, Destiny_4, Destiny_5, Destiny_6, Destiny_7, Destiny_8, Destiny_9, Destiny_10, Destiny_11, Destiny_12, Destiny_13, Destiny_14, Destiny_15, Destiny_16, Destiny_17, Destiny_18, Destiny_19, Destiny_20, Destiny_21, Destiny_22, Destiny_23, Destiny_24, Destiny_25
Bias, 0.41429345739684387, 0.655019618206065, 0.9170483269376041, 0.6870198317375754, 0.4218976071397731, 0.3739044052297483, 0.3572877467721909, 0.8285399193325965, 0.49943048057596695, 0.25672393311635755, 0.035871440082914874, 0.7948424120823631, 0.8347502072217342, 0.8596846468235306, 0.7074283449582163, 0.6672113787902727, 0.5251325158985987, 0.04570361066142492, 0.9538592764318577, 0.7594826265154988, 0.4554277237885398, 0.4607629425232198, 0.3562874886518479, 0.053280002580978425, 0.8901549509537104
Origin_1, 0.8505931320605908, 0.461126215745429, 0.261523015892392, 0.6910772050159308, 0.9342345033423325, 0.5499147035688129, 0.7217569000557446, 0.976823618892189, 0.48973693719500366, 0.23217750769320833, 0.055292760370704075, 0.9803855957166343, 0.8708925138671398, 0.9573047045685809, 0.4172281416699656, 0.7033924814806444, 0.1407625135864624, 0.945375638485865, 0.5271865442214416, 0.7713135635361817, 0.9174069839378673, 0.7440942359598536, 0.08949902950624133, 0.9047692487692712, 0.60552537337513
Origin_2, 0.23850690550371723, 0.8790970858377524, 0.5117308453134747, 0.7965093020289667, 0.4792564263093477, 0.22532527746148256, 0.7356005937794203, 0.5891354938874301, 0.016413703557435655, 0.8612333334262922, 0.5060773077689059, 0.3341027618814849, 0.7784688659316071, 0.6225089815869942, 0.8828773812909761, 0.8378444761238475, 0.9198522930766292, 0.27806474526626834, 0.2567945869923812, 0.3745237133545274, 0.47539439979146714, 0.8533928883763776, 0.7782465139720655, 0.949844979652168, 0.10642339461955641
Origin_3, 0.1681547308350494, 0.7203695001770755, 0.1362936014437277, 0.7007379154124972, 0.951072035678518, 0.3518875168766894, 0.45663925230396973, 0.09748162390473147, 0.8180394053025074, 0.2943955241277847, 0.7310180059220193, 0.7479851791077335, 0.6034788088417584, 0.26936049197791323, 0.022632652925468233, 0.6949303217322815, 0.020308126545937166, 0.6020587133038301, 0.818088663672846, 0.8547301053998537, 0.390497965060139, 0.8428313479726369, 0.8606085459962703, 0.22180780044640336, 0.23604188523133418
Origin_4, 0.39045398684692556, 0.6178452790751069, 0.2784966396069759, 0.8492673928563196, 0.05808094447616052, 0.7107407867421076, 0.5905713750422618, 0.571765786144874, 0.10913831381615813, 0.7558528437396458, 0.29596149690020235, 0.4028214949481904, 0.4087039291826977, 0.9808000488952314, 0.952985476240159, 0.7310721160034718, 0.9853270762577814, 0.6609509803839418, 0.004484049567800574, 0.4372328943785664, 0.4789039145606331, 0.8952103403884127, 0.9355198485518691, 0.3510699155532976, 0.6621395507361021
Origin_5, 0.4897315462348725, 0.054849598341559225, 0.06240895727419615, 0.4662910781324796, 0.7506116089589409, 0.7141643765311275, 0.3838174841299007, 0.7163001828339347, 0.8001006754700751, 0.6941322524649874, 0.34169946541283147, 0.08608840822523778, 0.6255853417421053, 0.43256671359652055, 0.43289412936959104, 0.6217013642809027, 0.44658151843952354, 0.7475837065129594, 0.025471313566400422, 0.5481529698137577, 0.14219862124630522, 0.7173986680228986, 0.20526724006844244, 0.9752346479883834, 0.42001405834352123
Origin_6, 0.41845416099421384, 0.07380707888909022, 0.5482182707817728, 0.12702347473404085, 0.2948581835912347, 0.48861104703262925, 0.05129601379182902, 0.6043080172395672, 0.03465154808644111, 0.5034831808561905, 0.4647641255749487, 0.26928768720608987, 0.9622125342169195, 0.3142333063786552, 0.0013717849031301688, 0.6729053140106824, 0.12114551070104229, 0.34438399473476433, 0.20292019342816447, 0.12381289428358255, 0.4182895029911936, 0.215766158368476, 0.2651113219638195, 0.5976082277286855, 0.42702210996277923
Origin_7, 0.740508479007605, 0.3768094465803362, 0.056396773385786636, 0.7068222916155759, 0.7437772844793648, 0.009292938239586324, 0.49242955768165086, 0.7860958061589473, 0.48072513583916265, 0.7717379021211952, 0.9792953059605136, 0.27655501262037563, 0.646457921267329, 0.6610889020765812, 0.7651209260484575, 0.9399847254961923, 0.49443191715896295, 0.27763667171765405, 0.9744612660632799, 0.9120143687861185, 0.3765436376570881, 0.8520361415233337, 0.7990356709518548, 0.7025556012574119, 0.09727703701223245
Origin_8, 0.7351627895240412, 0.15219540723103586, 0.038854379609549516, 0.8346242330517452, 0.33911877800908274, 0.6379823641142431, 0.09464455815905448, 0.02209711648873891, 0.3858649842825488, 0.34286648059485614, 0.15767985609059554, 0.508999281293351, 0.7193686494969281, 0.3967253337923724, 0.32796000184138563, 0.5202288975510431, 0.86782058024669, 0.4693563699128871, 0.41025529741743405, 0.4222349700623397, 0.004390195871761371, 0.36978845818315287, 0.7670740430623574, 0.06835067640168757, 0.9481499537044337
Origin_9, 0.6978864392150423, 0.5320051715963705, 0.5445792748370912, 0.37121596383893196, 0.061218304502977605, 0.2484083087457163, 0.46600983427155107, 0.4338144689634904, 0.7148817438191917, 0.6947120822403184, 0.5843909009347656, 0.6558987539163187, 0.6079631695053951, 0.3851208600266285, 0.35899262371947405, 0.9521046409503826, 0.7275287757272412, 0.9933188804201323, 0.31573887629247177, 0.4062470616765351, 0.31952392527617557, 0.7368000768960394, 0.4736925063689984, 0.5422242173177761, 0.03568356552420204
